Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
08/11/1982,  0.1042115E+05,  0.0000000E+00,  0.8109824E+03,  0.2627462E+03,  0.0000000E+00, -0.9393453E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2987307E+06,  0.1977664E+05,  0.1179624E+08,  0.3248623E+09,  0.9310488E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963840E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1422735E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1288144E+01,  0.1332720E+05,  0.2124218E+05,  0.0000000E+00,    1
08/12/1982,  0.1045478E+05,  0.0000000E+00,  0.8055799E+03,  0.2521022E+03,  0.0000000E+00, -0.9381309E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2964665E+06,  0.2006050E+05,  0.1177511E+08,  0.3248604E+09,  0.9312986E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963819E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1422923E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1687252E+01,  0.1330829E+05,  0.2117045E+05,  0.0000000E+00,    1
08/13/1982,  0.1044884E+05,  0.0000000E+00,  0.8012872E+03,  0.2657772E+03,  0.0000000E+00, -0.9370971E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2939287E+06,  0.2046064E+05,  0.1175405E+08,  0.3248585E+09,  0.9315942E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963798E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1435828E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2152429E+01,  0.1328982E+05,  0.2109459E+05,  0.0000000E+00,    1
08/14/1982,  0.1051508E+05,  0.0000000E+00,  0.8020351E+03,  0.3495846E+03,  0.0000000E+00, -0.9359965E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2928807E+06,  0.2092080E+05,  0.1173307E+08,  0.3248566E+09,  0.9320009E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963775E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1270633E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2770889E+01,  0.1327288E+05,  0.2102033E+05,  0.0000000E+00,    1
08/15/1982,  0.1051620E+05,  0.0000000E+00,  0.8240138E+03,  0.3621519E+03,  0.0000000E+00, -0.9347872E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2902833E+06,  0.2153342E+05,  0.1171215E+08,  0.3248546E+09,  0.9324653E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963752E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1405193E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3657150E+01,  0.1325694E+05,  0.2095062E+05,  0.0000000E+00,    1
08/16/1982,  0.1059594E+05,  0.0000000E+00,  0.8070488E+03,  0.4319200E+03,  0.0000000E+00, -0.9336846E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2876353E+06,  0.2219554E+05,  0.1169132E+08,  0.3248526E+09,  0.9330290E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963729E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1398353E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4449056E+01,  0.1324116E+05,  0.2087199E+05,  0.0000000E+00,    1
08/17/1982,  0.1061022E+05,  0.0000000E+00,  0.8031329E+03,  0.4724105E+03,  0.0000000E+00, -0.9328051E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2845085E+06,  0.2296389E+05,  0.1167057E+08,  0.3248506E+09,  0.9336182E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963704E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1430323E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5481794E+01,  0.1322573E+05,  0.2079382E+05,  0.0000000E+00,    1
08/18/1982,  0.1060706E+05,  0.0000000E+00,  0.8031111E+03,  0.5101632E+03,  0.0000000E+00, -0.9319496E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2798035E+06,  0.2371970E+05,  0.1164989E+08,  0.3248485E+09,  0.9342770E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963678E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1584027E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6609480E+01,  0.1321094E+05,  0.2071765E+05,  0.0000000E+00,    1
08/19/1982,  0.1085731E+05,  0.4496934E-01,  0.9734479E+03,  0.6083970E+03,  0.0000000E+00, -0.9307507E+04,  0.1276133E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2895069E+06,  0.2679098E+05,  0.1162930E+08,  0.3248464E+09,  0.9349663E+03,  0.0000000E+00,  0.0000000E+00,  0.2685248E+05, -0.3963652E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1553508E+02,  0.0000000E+00,  0.1290848E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.7763964E+01,  0.1319725E+05,  0.2062809E+05,  0.1407558E+05,    1
08/20/1982,  0.1094473E+05,  0.4249328E-01,  0.1079104E+04,  0.7354279E+03,  0.0000000E+00, -0.9295735E+04,  0.1613144E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2939490E+06,  0.2952858E+05,  0.1160878E+08,  0.3248442E+09,  0.9357490E+03,  0.0000000E+00,  0.0000000E+00,  0.1611149E+05, -0.3963625E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1360418E+02,  0.0000000E+00,  0.1690875E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9050252E+01,  0.1318433E+05,  0.2055942E+05,  0.1272773E+05,    1
