Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
10/01/1982,  0.5088762E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.5088761E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1277599E+06,  0.1308296E+02,  0.0000000E+00,  0.5495711E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5910707E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1283641E+06,  0.0000000E+00,  0.0000000E+00,    6
10/02/1982,  0.4396028E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.4396027E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2439467E+06,  0.1240918E+00,  0.0000000E+00,  0.5494531E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1395782E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1175695E+06,  0.0000000E+00,  0.0000000E+00,    4
10/03/1982,  0.3897054E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3897054E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3501370E+06,  0.4042877E-01,  0.0000000E+00,  0.5493444E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2107843E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1082981E+06,  0.0000000E+00,  0.0000000E+00,    4
10/04/1982,  0.3478478E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3478478E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4475714E+06,  0.5550161E-01,  0.0000000E+00,  0.5492438E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2818863E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1002533E+06,  0.0000000E+00,  0.0000000E+00,    4
10/05/1982,  0.3124816E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3124817E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5373218E+06,  0.6522853E+02,  0.0000000E+00,  0.5491503E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3428446E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1232799E+01,  0.9324528E+05,  0.1232799E+01,  0.0000000E+00,    5
10/06/1982,  0.2865146E+03,  0.0000000E+00,  0.0000000E+00,  0.3360475E+00,  0.0000000E+00, -0.2861785E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6184543E+06,  0.3740760E+03,  0.0000000E+00,  0.5490629E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5673707E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1986888E+02,  0.8713519E+05,  0.1986888E+02,  0.0000000E+00,    5
10/07/1982,  0.2959026E+03,  0.2579258E+02,  0.0000000E+00,  0.2275713E+02,  0.0000000E+00, -0.2473528E+03,  0.1330329E+05,  0.0000000E+00,  0.1843534E+02,  0.0000000E+00,  0.8903405E+06,  0.1451154E+04,  0.0000000E+00,  0.5489809E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2124912E+06,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1167949E+02,  0.0000000E+00,  0.7877705E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1251810E+03,  0.8185699E+05,  0.1251810E+03,  0.1991320E+06,    9
10/08/1982,  0.2787670E+03,  0.0000000E+00,  0.0000000E+00,  0.5008575E+02,  0.0000000E+00, -0.2286813E+03,  0.6934205E+04,  0.0000000E+00,  0.7531726E+01,  0.0000000E+00,  0.9621902E+06,  0.2538002E+04,  0.0000000E+00,  0.5489037E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6369087E+04,  0.0000000E+00,  0.1090362E+02,  0.0000000E+00,  0.3999970E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2693804E+03,  0.7725595E+05,  0.2693804E+03,  0.0000000E+00,    9
10/09/1982,  0.3286712E+03,  0.0000000E+00,  0.0000000E+00,  0.1041473E+03,  0.0000000E+00, -0.2245238E+03,  0.5656966E+03,  0.0000000E+00,  0.4416975E+00,  0.0000000E+00,  0.1027758E+07,  0.4129915E+04,  0.0000000E+00,  0.5488307E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6368509E+04,  0.0000000E+00,  0.7090029E+01,  0.0000000E+00,  0.5518424E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5394443E+03,  0.7332187E+05,  0.5394443E+03,  0.0000000E+00,   13
10/10/1982,  0.3978715E+03,  0.0000000E+00,  0.0000000E+00,  0.1744590E+03,  0.0000000E+00, -0.2234124E+03,  0.9394551E+01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1084573E+07,  0.6184319E+04,  0.0000000E+00,  0.5487614E+09,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5563020E+03,  0.0000000E+00,  0.4416975E+00,  0.0000000E+00,  0.9997279E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8877354E+03,  0.6992876E+05,  0.8877354E+03,  0.0000000E+00,   11
